"Student_ID","Major_Category","Year_of_Study","Pre_Semester_GPA","Weekly_GenAI_Hours","Primary_Use_Case","Prompt_Engineering_Skill","Tool_Diversity","Paid_Subscription","Traditional_Study_Hours","Perceived_AI_Dependency","Institutional_Policy","Anxiety_Level_During_Exams","Post_Semester_GPA","Skill_Retention_Score","Burnout_Risk_Level"
141570,"Arts","Senior",3.074,9.23,"Direct_Answer_Generation","Beginner",3,"FALSE",11.28,4,"Actively_Encouraged",3,3.531,66.9,"Medium"
130696,"STEM","Sophomore",3.549,6.73,"Ideation","Beginner",1,"FALSE",17.7,5,"Actively_Encouraged",2,3.6,72.24,"High"
116468,"STEM","Senior",3.339,4.21,"Summarizing_Reading","Advanced",5,"TRUE",18.83,1,"Strict_Ban",7,3.879,76.36,"Low"
122196,"Business","Sophomore",3.792,8.36,"Ideation","Advanced",4,"FALSE",5.33,4,"Actively_Encouraged",5,3.846,86.43,"Medium"
115061,"STEM","Sophomore",3.326,21.5,"Ideation","Intermediate",2,"TRUE",9.96,5,"Actively_Encouraged",5,3.544,59.67,"High"
107280,"Business","Junior",3.635,2.89,"Debugging/Troubleshooting","Beginner",3,"FALSE",21.89,3,"Strict_Ban",3,3.66,93.72,"Low"
130972,"STEM","Freshman",2.598,22.94,"Debugging/Troubleshooting","Beginner",1,"TRUE",6.41,5,"Strict_Ban",10,2.492,51.29,"Medium"
129008,"Business","Junior",2.106,1.35,"Summarizing_Reading","Advanced",4,"FALSE",6.82,4,"Actively_Encouraged",8,2.443,70.34,"High"
112124,"Medical","Junior",1.893,4.51,"Summarizing_Reading",NA,3,"TRUE",8.18,4,"Allowed_With_Citation",2,2.002,67.4,"Medium"
104697,"Business","Sophomore",3.611,12.42,"Ideation","Advanced",5,"FALSE",10.38,2,"Allowed_With_Citation",6,3.954,93.61,"Medium"
118467,"Business","Sophomore",3.757,2.84,"Debugging/Troubleshooting","Intermediate",2,"TRUE",15.3,3,"Allowed_With_Citation",2,4,63.81,"Medium"
100489,"Medical","Freshman",3.336,25.56,"Summarizing_Reading","Advanced",4,"FALSE",16.86,5,"Allowed_With_Citation",5,3.518,53.11,"High"
105777,"Business","Junior",2.485,11.12,"Summarizing_Reading","Intermediate",3,"FALSE",13.25,1,"Allowed_With_Citation",6,2.719,56.88,"Medium"
121064,"Humanities","Sophomore",2.569,1.14,"Copywriting/Drafting","Beginner",2,"FALSE",1.1,2,"Allowed_With_Citation",2,2.839,74.46,"Low"
106061,"Humanities","Senior",3.232,3.33,"Ideation","Beginner",1,"TRUE",13.62,4,"Strict_Ban",4,3.434,59.36,"Low"
145832,"STEM","Senior",3.136,5.42,"Copywriting/Drafting","Advanced",5,"FALSE",19.03,1,"Strict_Ban",1,3.209,76.7,"Low"
126017,"Business","Junior",3.396,4.32,"Ideation",NA,1,"FALSE",8.97,4,"Actively_Encouraged",5,3.448,66.27,"High"
105496,"Humanities","Freshman",3.454,16.37,"Copywriting/Drafting","Beginner",3,"FALSE",3.41,4,"Allowed_With_Citation",5,3.32,88.46,"High"
125104,"STEM","Freshman",2.907,25.06,"Debugging/Troubleshooting","Advanced",3,"TRUE",9.46,6,"Allowed_With_Citation",4,3.283,84.63,"Medium"
